text,category
Recent ah sewage water road la odudhu daily nadakudhu,Drainage
Recent ah trash road la iruku romba problem iruku,Garbage
Recent ah waste bin overflow aagudhu many days ah,Garbage
There is drainage water on road in my area,Drainage
Inga sewage problem iruku seekram solve pannunga,Drainage
Namma street la water shortage romba naal ah daily nadakudhu,Water
Issue of waste collection delay near bus stand,Garbage
There is low water pressure in my area,Water
Issue of electricity problem for many days,Electricity
Issue of irregular water supply in this locality,Water
Complaint regarding garbage piled on road in my area,Garbage
Enga area la garbage smell romba iruku daily nadakudhu,Garbage
Complaint regarding street lights not working in my area,Electricity
Recent ah pipe leak aagudhu seekram solve pannunga,Water
Enga area la power cut daily nadakudhu romba kashtam,Electricity
Enga area la road full ah holes iruku romba problem iruku,Road
Issue of garbage piled on road for many days,Garbage
Indha area la road la romba potholes iruku romba problem iruku,Road
Enga area la sewage water road la odudhu daily nadakudhu,Drainage
Severe road not motorable in this locality,Road
Enga area la garbage collect panala romba problem iruku,Garbage
Enga area la sewage problem iruku romba kashtam,Drainage
Issue of drainage issue in street for many days,Drainage
There is waste collection delay near my house,Garbage
Complaint regarding potholes on road for many days,Road
Complaint regarding garbage issue in street in our street,Garbage
Issue of cracks on main road in my area,Road
Enga area la garbage issue iruku romba kashtam,Garbage
Frequent clogged drainage in this locality,Drainage
Namma street la garbage issue iruku many days ah,Garbage
Inga drainage overflow aagudhu daily nadakudhu,Drainage
Namma street la trash road la iruku seekram solve pannunga,Garbage
Severe water leakage from pipe in our street,Water
Frequent no water supply for many days,Water
Severe current not available in my area,Electricity
Facing municipal waste problem near my house,Garbage
Severe bad smell from drainage for many days,Drainage
Inga drainage block aagi iruku romba problem iruku,Drainage
Frequent drainage overflow near my house,Drainage
Issue of sewage problem near bus stand,Drainage
Issue of road damaged after rain near bus stand,Road
Recent ah water supply varala seekram solve pannunga,Water
Severe cracks on main road in our street,Road
Severe waste collection delay in our street,Garbage
Namma street la sewage problem iruku romba kashtam,Drainage
Severe pipe burst issue near bus stand,Water
Facing potholes on road for many days,Road
Frequent trash overflow in this locality,Garbage
Frequent water overflow from pipeline in our street,Water
There is power cut frequently near my house,Electricity
Facing trash problem in our street,Garbage
Inga road damage aagi iruku daily nadakudhu,Road
There is frequent power issue near bus stand,Electricity
Namma street la waste bin overflow aagudhu romba kashtam,Garbage
There is water shortage in my area,Water
There is street road damaged for many days,Road
Facing garbage piled on road near bus stand,Garbage
Inga garbage smell romba iruku romba problem iruku,Garbage
There is drainage issue in street near bus stand,Drainage
Facing garbage not collected in our street,Garbage
There is road not motorable near my house,Road
Inga water supply varala daily nadakudhu,Water
Complaint regarding power shutdown in our street,Electricity
Inga voltage romba fluctuation romba problem iruku,Electricity
Issue of road damaged after rain for many days,Road
Indha area la garbage issue iruku romba problem iruku,Garbage
Indha area la garbage smell romba iruku many days ah,Garbage
Frequent road causing traffic near my house,Road
Recent ah drainage smell romba mosam romba problem iruku,Drainage
Recent ah pipe leak aagudhu many days ah,Water
Complaint regarding uneven road condition near bus stand,Road
There is potholes on road in our street,Road
Frequent potholes on road in this locality,Road
Facing drinking water problem for many days,Water
Indha area la power cut daily nadakudhu daily nadakudhu,Electricity
Enga area la garbage collect panala romba kashtam,Garbage
Inga main road romba mosama iruku seekram solve pannunga,Road
Indha area la power cut daily nadakudhu many days ah,Electricity
Inga street light work aagala many days ah,Electricity
Issue of road damaged after rain for many days,Road
Namma street la sewage problem iruku many days ah,Drainage
Enga area la road full ah holes iruku seekram solve pannunga,Road
Enga area la water supply varala many days ah,Water
Frequent cracks on main road for many days,Road
Frequent water overflow from pipeline in my area,Water
Frequent water shortage near my house,Water
Complaint regarding drainage overflow for many days,Drainage
Facing no water supply for many days,Water
Frequent trash problem near bus stand,Garbage
Issue of power shutdown in this locality,Electricity
Facing bad road condition for many days,Road
There is power shutdown for many days,Electricity
There is frequent power issue in this locality,Electricity
Namma street la drainage block aagi iruku seekram solve pannunga,Drainage
Frequent sewage water leakage in this locality,Drainage
There is broken road surface near bus stand,Road
Recent ah sewage water road la odudhu daily nadakudhu,Drainage
Frequent clogged drainage in this locality,Drainage
There is cracks on main road in our street,Road
Inga drainage block aagi iruku daily nadakudhu,Drainage
There is water overflow from pipeline near bus stand,Water
Inga road la romba potholes iruku daily nadakudhu,Road
Recent ah drainage block aagi iruku many days ah,Drainage
There is voltage fluctuation issue in our street,Electricity
Frequent trash overflow in this locality,Garbage
There is street lights not working for many days,Electricity
There is water overflow from pipeline in my area,Water
Indha area la garbage smell romba iruku seekram solve pannunga,Garbage
Complaint regarding potholes on road in our street,Road
Frequent street road damaged near bus stand,Road
Namma street la main road romba mosama iruku daily nadakudhu,Road
Severe garbage smell issue near my house,Garbage
Complaint regarding power shutdown for many days,Electricity
Severe electricity problem in our street,Electricity
There is clogged drainage near bus stand,Drainage
Complaint regarding garbage not collected near bus stand,Garbage
Severe power failure near bus stand,Electricity
Inga trash road la iruku seekram solve pannunga,Garbage
Severe no electricity supply near my house,Electricity
Severe sewage problem near bus stand,Drainage
There is waste dumped near house in my area,Garbage
Namma street la garbage collect panala seekram solve pannunga,Garbage
Indha area la road damage aagi iruku romba problem iruku,Road
Complaint regarding drainage overflow for many days,Drainage
There is road causing traffic in our street,Road
There is water leakage from pipe near bus stand,Water
Issue of garbage not collected in this locality,Garbage
Severe power shutdown in this locality,Electricity
Recent ah garbage smell romba iruku romba problem iruku,Garbage
Indha area la garbage issue iruku daily nadakudhu,Garbage
Complaint regarding sewage problem near bus stand,Drainage
Recent ah electricity supply illa daily nadakudhu,Electricity
Indha area la main road romba mosama iruku daily nadakudhu,Road
Inga pipe leak aagudhu many days ah,Water
Frequent electricity outage in this locality,Electricity
Frequent street lights not working in our street,Electricity
Inga garbage smell romba iruku many days ah,Garbage
Frequent tap water not coming for many days,Water
